Venue,Capacity,Basketballteam(s),Location,Country,Image
UD Arena,13409,Dayton Flyers basketball and NCAA Men's Basketball Tournament First Four games,Dayton,United States,
Convocation Center,13080,Ohio Bobcats basketball,Athens,United States,
Ülker Sports and Event Hall,13000,Fenerbahçe Men's Basketball and Fenerbahçe Women's Basketball,Istanbul,Turkey,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Fenerbah%C3%A7e_Uluslararas%C4%B1_Spor_Kompleksi_%C3%9Clker_Spor_Arena_20170902_%284%29.jpg/150px-Fenerbah%C3%A7e_Uluslararas%C4%B1_Spor_Kompleksi_%C3%9Clker_Spor_Arena_20170902_%284%29.jpg
Reed Arena,12989,Texas A&M Aggies men's and women's basketball,College Station,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/ReedArenaINTERIOR.JPG/150px-ReedArenaINTERIOR.JPG
ExtraMile Arena,12644,Boise State Broncos men's and women's basketball,Boise,United States,
Donald L. Tucker Civic Center,12500,"Florida State Seminoles men's basketball, Florida State Seminoles women's basketball",Tallahassee,United States,
Budapest Arena,12500,Hungary national basketball team,Budapest,Hungary,
Palau Municipal d'Esports de Badalona,12500,Club Joventut Badalona,Badalona,Spain,
Pan American Center,12482,"New Mexico State Aggies men's and women's basketball, women's volleyball",Las Cruces,United States,
Arena Stožice,12480,Union Olimpija,Ljubljana,Slovenia,
Viejas Arena,12414,San Diego State Aztecs men's basketballSan Diego State Aztecs women's basketball,San Diego,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/20180303-073Crowd%285X8%29.jpg/150px-20180303-073Crowd%285X8%29.jpg
Amica Mutual Pavilion,12410,Providence Friars men's basketball,Providence,United States,
Matthew Knight Arena,12364,"Oregon Ducks men's and women's basketball, women's volleyball","Eugene, Oregon",United States,
Mediolanum Forum,12331,Pallacanestro Olimpia Milano,Milan,Italy,
Abdi İpekçi Arena,12270,"Anadolu Efes S.K., Galatasaray S.K. men's  and women's basketball team",Istanbul,Turkey,
Beasley Coliseum,12058,Washington State Cougars men's basketball,Pullman,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Beasley_Coliseum%2C_Pullman_WA%2C_March_2024.jpg/150px-Beasley_Coliseum%2C_Pullman_WA%2C_March_2024.jpg
Fifth Third Arena,12012,"Cincinnati Bearcats men's and women's basketball, women's volleyball",Cincinnati,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Renovated_Fifth_Third_Arena_Interior_3.jpg/150px-Renovated_Fifth_Third_Arena_Interior_3.jpg
Lawlor Events Center,12000,Nevada Wolf Pack men's and women's basketball,Reno,United States,
Peace and Friendship Stadium,12000,Olympiacos BC,Piraeus,Greece,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Peace_and_Friendship_stadium_02_03_2014.JPG/150px-Peace_and_Friendship_stadium_02_03_2014.JPG
Don Haskins Center,11892,UTEP Miners men's and women's basketball,El Paso,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Don_Haskins_Center_UTEP_Interior.jpg/150px-Don_Haskins_Center_UTEP_Interior.jpg
Haas Pavilion,11858,California Golden Bears men's basketball,Berkeley,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Haas_Pavilion_Court.jpg/150px-Haas_Pavilion_Court.jpg
Cajundome,11550,Louisiana Ragin' Cajuns men's basketball,Lafayette,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Cajundome_Afternoon.JPG/150px-Cajundome_Afternoon.JPG
Murphy Center,11520,Middle Tennessee Blue Raiders men's and women's basketball,Murfreesboro,United States,
Dee Events Center,11500,Weber State Wildcats,Ogden,United States,
John E. Worthen Arena,11500,Ball State Cardinals men and women's basketball,"Muncie, Indiana",United States,
Kaplan Arena,11300,William & Mary Tribe men's basketball,Williamsburg,United States,
PalaLottomatica,11200,Pallacanestro Virtus Roma,Rome,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/PalaLottomatica.jpg/150px-PalaLottomatica.jpg
CU Events Center,11065,Colorado Buffaloes men's basketball,Boulder,United States,
Bramlage Coliseum,11000,Kansas State Wildcats men's basketball,Manhattan,United States,
Pais Arena,11000,Hapoel Jerusalem,Jerusalem,Israel,
Unipol Arena,11000,Virtus Pallacanestro Bologna,Bologna,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Unipol_Arena_2014.jpg/150px-Unipol_Arena_2014.jpg
McKenzie Arena,10995,Chattanooga Mocs men's and women's basketball,Chattanooga,United States,
Spaladium Arena,10931,KK Split,Split,Croatia,
Pabellón Príncipe Felipe,10744,CAI Zaragoza,Zaragoza,Spain,
Palacio de Deportes José María Martín Carpena,10642,Baloncesto Málaga,Málaga,Spain,
Great Southern Bank Arena,10542,Missouri State Bears men's and women's basketball,Springfield,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Msu_v_arkansas.jpg/150px-Msu_v_arkansas.jpg
Stegeman Coliseum,10532,Georgia Bulldogs men's and women's basketball,Athens,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Stegeman_Coliseum.jpg/150px-Stegeman_Coliseum.jpg
Hisense Arena,10500,Melbourne United,Melbourne,Australia,
Ankara Arena,10400,"Hacettepe Üniversitesi B.K., Türk Telekom B.K. and TED Ankara Kolejliler",Ankara,Turkey,
Wintrust Arena,10387,DePaul Blue Demons men's and women's basketball,Chicago,United States,
Menora Mivtachim Arena,10383,"Maccabi Tel Aviv, Israel national basketball team",Tel Aviv,Israel,
Vitrifrigo Arena,10323,Victoria Libertas Pesaro,Pesaro,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Pesaro_-_BPA_Palas_01.jpg/150px-Pesaro_-_BPA_Palas_01.jpg
Stan Sheriff Center,10300,Hawaii Rainbow Warriors basketball,Honolulu,United States,
Galen Center,10258,USC Trojans men's and women's basketball,Los Angeles,United States,
Cintas Center,10224,Xavier Musketeers men's and women's basketball,Cincinnati,United States,
CEFCU Arena,10200,Illinois State Redbirds men's and women's basketball,Normal,United States,
O'Connell Center,10133,"Florida Gators men's and women's basketball, women's volleyball, and women's gymnastics",Gainesville,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/High_Resolution_Stadium_Pic.jpg/150px-High_Resolution_Stadium_Pic.jpg
Montagne Center,10080,Lamar Cardinals basketball,Beaumont,United States,
Cassell Coliseum,10052,Virginia Tech Hokies men's and women's basketball,Blacksburg,United States,
Mitchell Center,10038,South Alabama Jaguars men's basketball,Mobile,United States,
First National Bank Arena,10038,Arkansas State Red Wolves men's basketball,Jonesboro,United States,
