Venue,Capacity,Basketballteam(s),Location,Country,Image
American Airlines Center,20000,Dallas Mavericks,Dallas,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/American_Airlines_Center2242.JPG/150px-American_Airlines_Center2242.JPG
Target Center,20000,"Minnesota Timberwolves, Minnesota Lynx",Minneapolis,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/012308-TC-Twolves001.jpg/150px-012308-TC-Twolves001.jpg
Crypto.com Arena,20000,"Los Angeles Clippers, Los Angeles Lakers, Los Angeles Sparks",Los Angeles,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Staples_Center_Lakers.jpg/150px-Staples_Center_Lakers.jpg
Nationwide Arena,20000,"Ohio State Buckeyes men's basketball, Ohio State Buckeyes women's basketball",Columbus,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/NationwideArena.jpg/150px-NationwideArena.jpg
T-Mobile Arena,20000,Pac-12 Conference Men's Tournament,Paradise,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Frozen_Fury%2C_Las_Vegas_%2835162282886%29.jpg/150px-Frozen_Fury%2C_Las_Vegas_%2835162282886%29.jpg
Kaseya Center,19600,Miami Heat,Miami,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Player_introductions_before_a_Miami_Heat_game.jpg/150px-Player_introductions_before_a_Miami_Heat_game.jpg
TD Garden,19580,Boston Celtics,Boston,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Basketball_Game_TD_Garden.jpg/150px-Basketball_Game_TD_Garden.jpg
Thomas & Mack Center,19552,UNLV Runnin' Rebels basketball,Paradise,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/ThomasandMackinside.jpg/150px-ThomasandMackinside.jpg
Ball Arena,19520,Denver Nuggets,Denver,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Pepsi_center_interior.jpg/150px-Pepsi_center_interior.jpg
Madison Square Garden,19500,"New York Knicks, New York Liberty, most St. John's Red Storm men's basketball games, Big East Men's Tournament",New York City,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/MSG_Henrik_Lundqvist_Retirement_Night_003.jpg/150px-MSG_Henrik_Lundqvist_Retirement_Night_003.jpg
Rocket Mortgage FieldHouse,19432,"Cleveland Cavaliers, Mid-American Conference Men's and Women's Tournaments",Cleveland,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Quicken_Loans_Arena_3.jpg/150px-Quicken_Loans_Arena_3.jpg
Nikos Galis Olympic Indoor Hall,19250,Panathinaikos B.C.,Athens,Greece,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/OAKA1010436.JPG/150px-OAKA1010436.JPG
Oakland Arena,19200,Golden State Warriors,Oakland,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Oracle_Arena_2011-12-17.jpg/150px-Oracle_Arena_2011-12-17.jpg
Bud Walton Arena,19200,"Arkansas Razorbacks men's basketball, Arkansas Razorbacks women's basketball",Fayetteville,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Bud_Walton_Arena_2023.jpg/150px-Bud_Walton_Arena_2023.jpg
Barclays Center,19000,Brooklyn Nets,Brooklyn,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Barclays_Center_-_New_York_Islanders_03.jpg/150px-Barclays_Center_-_New_York_Islanders_03.jpg
Frost Bank Center,19000,San Antonio Spurs,San Antonio,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/2014_NBA_Playoffs_Dallas_Mavericks_vs._San_Antonio_Spurs.jpg/150px-2014_NBA_Playoffs_Dallas_Mavericks_vs._San_Antonio_Spurs.jpg
Marriott Center,19000,"BYU Cougars men's basketball, BYU Cougars women's basketball",Provo,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Marriott_Center_with_new_seating_2012.jpg/150px-Marriott_Center_with_new_seating_2012.jpg
Toyota Center,19000,Houston Rockets,Houston,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Toyota_Center_inside.jpg/150px-Toyota_Center_inside.jpg
Cadillac Arena,19000,Beijing Ducks,Beijing,China,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Beijing_Wukesong_Culture_%26_Sports_Center.jpg/150px-Beijing_Wukesong_Culture_%26_Sports_Center.jpg
Freedom Hall,18865,Bellarmine Knights men's and women's basketball,Louisville,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/FreedomHall3.jpg/150px-FreedomHall3.jpg
Kia Center,18846,Orlando Magic,Orlando,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/AmwayCenterCourt.JPG/150px-AmwayCenterCourt.JPG
José Miguel Agrelot Coliseum,18500,some Santurce Crabbers games,San Juan,Puerto Rico,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Coliseum_of_PR.JPG/150px-Coliseum_of_PR.JPG
Footprint Center,18422,"Phoenix Suns, Phoenix Mercury",Phoenix,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/USAirwaysCenter-2008NCAAWestRegional.jpg/150px-USAirwaysCenter-2008NCAAWestRegional.jpg
Štark Arena,18386,"Serbia national basketball team, some KK Crvena zvezda and KK Partizan Belgrade games",Belgrade,Serbia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Arena_X_Factor_Adria_%2813457480073%29.jpg/150px-Arena_X_Factor_Adria_%2813457480073%29.jpg
Paycom Center,18203,Oklahoma City Thunder,Oklahoma City,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/OKC_Thunder_Pregame.jpg/150px-OKC_Thunder_Pregame.jpg
Qudos Bank Arena,18000,Sydney Kings,Sydney,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Sydney_Super_Dome_panorama.jpg/150px-Sydney_Super_Dome_panorama.jpg
Colonial Life Arena,18000,"South Carolina Gamecocks men's basketball, South Carolina Gamecocks women's basketball",Columbia,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/University_of_South_Carolina_Colonial_Life_Arena.jpg/150px-University_of_South_Carolina_Colonial_Life_Arena.jpg
Gainbridge Fieldhouse,18000,"Indiana Pacers, Indiana Fever",Indianapolis,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Conseco_fieldhouse_seating_bowl.JPG/150px-Conseco_fieldhouse_seating_bowl.JPG
Mercedes-Benz Arena,18000,Shanghai Sharks,Shanghai,China,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Expo_Culture_Center_%284633171163%29.jpg/150px-Expo_Culture_Center_%284633171163%29.jpg
Xfinity Center,17950,"Maryland Terrapins men's basketball, Maryland Terrapins women's basketball",College Park,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Maryland_Duke_basketball_Feb_2007.jpg/150px-Maryland_Duke_basketball_Feb_2007.jpg
FedExForum,17794,"Memphis Grizzlies, Memphis Tigers men's basketball",Memphis,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/FedExForum_2015.jpg/150px-FedExForum_2015.jpg
Smoothie King Center,17791,New Orleans Pelicans,New Orleans,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/NOLA_2018_WWE_Smackdown_Live_DSC06674_%2846215219532%29.jpg/150px-NOLA_2018_WWE_Smackdown_Live_DSC06674_%2846215219532%29.jpg
Golden 1 Center,17600,Sacramento Kings,Sacramento,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/G1C_Interior.jpg/150px-G1C_Interior.jpg
CHI Health Center Omaha,17560,Creighton Bluejays men's basketball,Omaha,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/P1270977.JPG/150px-P1270977.JPG
Heritage Bank Center,17556,Occasional NCAA and NBA games,Cincinnati,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Heritage_Bank_Center.jpg/150px-Heritage_Bank_Center.jpg
Fiserv Forum,17500,"Milwaukee Bucks, Marquette Golden Eagles men's basketball",Milwaukee,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Fiserv_Forum_seating_bowl.jpg/150px-Fiserv_Forum_seating_bowl.jpg
Spectrum Center,17500,Charlotte Hornets,Charlotte,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/BobcatsArena.jpg/150px-BobcatsArena.jpg
Kohl Center,17230,"Wisconsin Badgers men's basketball, Wisconsin Badgers women's basketball",Madison,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Kohl_Center_hockey.jpg/150px-Kohl_Center_hockey.jpg
Simon Skjodt Assembly Hall,17222,Indiana Hoosiers men's basketball,Bloomington,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Assembly_Hall_-_Bloomington%2C_IN_-_December_2015.jpg/150px-Assembly_Hall_-_Bloomington%2C_IN_-_December_2015.jpg
State Farm Arena,16888,"Atlanta Hawks, Atlanta Dream",Atlanta,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Philips_Arena_basketball.jpg/150px-Philips_Arena_basketball.jpg
Prudential Center,16755,"Seton Hall Pirates men's basketball, some NJIT Highlanders men's basketball games",Newark,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Prudential_Center_hockey_rink.jpg/150px-Prudential_Center_hockey_rink.jpg
Arena Zagreb,16500,handball basketball hockey,Zagreb,Croatia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Medvescak_-_Arena_-_west_stand.jpg/150px-Medvescak_-_Arena_-_west_stand.jpg
Indonesia Arena,16500,2023 FIBA Basketball World Cup,Jakarta,Indonesia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Indonesia_Arena_3_September_2023_-_Pre_Match_BRA_vs_LAT.jpg/150px-Indonesia_Arena_3_September_2023_-_Pre_Match_BRA_vs_LAT.jpg
Allen Fieldhouse,16300,"Kansas Jayhawks men's basketball, Kansas Jayhawks women's basketball",Lawrence,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Allen_Fieldhouse.jpg/150px-Allen_Fieldhouse.jpg
Wells Fargo Arena,16110,Iowa Wolves,Des Moines,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Kansas_Jayhawks_Open_Practice_at_the_2016_March_Madness_Opening_Rounds_%2825217234113%29.jpg/150px-Kansas_Jayhawks_Open_Practice_at_the_2016_March_Madness_Opening_Rounds_%2825217234113%29.jpg
Sinan Erdem Dome,16000,Turkey national basketball team,Istanbul,Turkey,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Fenerbah%C3%A7e_vs._Galatasaray_basketball_match.jpg/150px-Fenerbah%C3%A7e_vs._Galatasaray_basketball_match.jpg
Bon Secours Wellness Arena,15951,Clemson Tigers men's basketball from 2015 to 2017,Greenville,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/BonSecoursArenaGRN.jpg/150px-BonSecoursArenaGRN.jpg
XL Center,15564,Some Connecticut Huskies men's and women's games,Hartford,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/XL-Center-12-10-22-5.jpg/150px-XL-Center-12-10-22-5.jpg
Žalgiris Arena,15552,BC Žalgiris,Kaunas,Lithuania,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/%C5%BDalgiris_Arena_interior_18_Aug_2011.jpg/150px-%C5%BDalgiris_Arena_interior_18_Aug_2011.jpg
Save Mart Center,15544,Fresno State Bulldogs,Fresno,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/2009-0725-CA-SaveMartCenter.jpg/150px-2009-0725-CA-SaveMartCenter.jpg
