Venue,Capacity,Basketballteam(s),Location,Country,Image,LatLong
Carver–Hawkeye Arena,15400,"Iowa Hawkeyes men's basketball, Iowa Hawkeyes women's basketball",Iowa City,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.66313, -91.55402]"
Coleman Coliseum,15383,Alabama Crimson Tide men's basketball,Tuscaloosa,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Coleman_Coliseum_2015_Panorama.jpg/150px-Coleman_Coliseum_2015_Panorama.jpg,"[31.82724, -99.42677]"
Bryce Jordan Center,15261,"Penn State Nittany Lions men's basketball, Penn State Lady Lions basketball",University Park,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[40.80957, -77.85387]"
MVP Arena,15229,Siena Saints men's basketball,Albany,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Times_Union_Center_2011.jpg/150px-Times_Union_Center_2011.jpg,"[43.16162, -89.91256]"
United Supermarkets Arena,15098,"Texas Tech Red Raiders basketball, Texas Tech Lady Raiders basketball",Lubbock,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/UnitedSpiritArena.jpg/150px-UnitedSpiritArena.jpg,"[38.91154, -123.69237]"
Mizzou Arena,15061,"Missouri Tigers men's basketball, Missouri Tigers women's basketball",Columbia,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Mizzou_Arena_interior_-_2014.jpg/150px-Mizzou_Arena_interior_-_2014.jpg,"[43.16162, -89.91256]"
Arena-Auditorium,15028,"Wyoming Cowboys basketball, Wyoming Cowgirls basketball",Laramie,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Arena-Auditorium_Laramie.jpg/150px-Arena-Auditorium_Laramie.jpg,"[43.16162, -89.91256]"
Jon M. Huntsman Center,15000,"Utah Utes men's basketball, Utah Utes women's basketball",Salt Lake City,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Utah_gymnastics_meet.jpg/150px-Utah_gymnastics_meet.jpg,"[41.21394, -102.97354]"
Moody Center,15000,"Texas Longhorns men's basketball, Texas Longhorns women's basketball",Austin,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[45.39064, -92.81629]"
Ashgabat Main Indoor Arena,15000,Turkmenistan national basketball team,Ashgabat,Turkmenistan,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.95121, 58.39014]"
Palacio de Deportes de la Comunidad de Madrid,15000,Real Madrid Baloncesto & Club Baloncesto Estudiantes,Madrid,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Partido_Real_Madrid_-_CSKA_de_Mosc%C3%BA_en_el_Palacio_de_los_Deportes_de_la_Comunidad_de_Madrid.jpg/150px-Partido_Real_Madrid_-_CSKA_de_Mosc%C3%BA_en_el_Palacio_de_los_Deportes_de_la_Comunidad_de_Madrid.jpg,"[40.41955, -3.69197]"
Jeunesse Arena,14981,Flamengo Basketball,Rio de Janeiro,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Rioarena.jpg/150px-Rioarena.jpg,"[-6.03615, -35.33996]"
Perth Arena,14846,Perth Wildcats,Perth,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/RAC_Arena%2C_October_2018.jpg/150px-RAC_Arena%2C_October_2018.jpg,"[-31.86993, 115.97581]"
Mackey Arena,14804,Purdue Boilermakers men's basketball,"West Lafayette, Indiana",United States,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Mackey_Arena-Purdue_vs_ISU_2007.jpg/150px-Mackey_Arena-Purdue_vs_ISU_2007.jpg,"[38.25284, -87.39277]"
Breslin Center,14797,Michigan State Spartans men's and women's basketball,"East Lansing, Michigan",United States,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/BreslinCenterA.jpg/150px-BreslinCenterA.jpg,"[38.89037, -77.03196]"
Lawrence Joel Veterans Memorial Coliseum,14665,Wake Forest Demon Deacons men's and women's basketball,Winston-Salem,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/LJVM_floor.jpg/150px-LJVM_floor.jpg,"[39.87001, -85.95208]"
McKale Center,14655,Arizona Wildcats men's and women's basketball,Tucson,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.36064, -72.10668]"
Williams Arena,14625,"Minnesota Golden Gophers men's basketball, Minnesota Golden Gophers women's basketball","Minneapolis, Minnesota",United States,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Williams_arena_ct.JPG/150px-Williams_arena_ct.JPG,"[35.25, -112.19075]"
John Paul Jones Arena,14593,Virginia Cavaliers men's and women's basketball,"Charlottesville, Virginia",United States,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/UVA_vs_Duke%2C_Feb._2022.jpg/150px-UVA_vs_Duke%2C_Feb._2022.jpg,"[32.34934, -111.03039]"
Brisbane Entertainment Centre,14500,Brisbane Bullets,Brisbane,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-27.67419, 153.05244]"
Mercedes-Benz Arena,14500,Alba Berlin,Berlin,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Alba_Berlin_vs_BBC_Bayreuth%2C_19_February_2011_%282%29.jpg/150px-Alba_Berlin_vs_BBC_Bayreuth%2C_19_February_2011_%282%29.jpg,"[53.91068, 11.58795]"
Hilton Coliseum,14384,Iowa State Cyclones men's basketball,Ames,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Hilton_Coliseum_Inside_View.jpg/150px-Hilton_Coliseum_Inside_View.jpg,"[37.75704, -122.19388]"
Memorial Gymnasium,14316,Vanderbilt Commodores men's and women's basketball,Nashville,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[29.77263, -95.57092]"
Desert Financial Arena,14287,Arizona State Sun Devils men's and women's basketball,Tempe,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Arizona_State_University%2C_Tempe_Main_Campus%2C_Tempe%2C_AZ_-_panoramio_%28163%29.jpg/150px-Arizona_State_University%2C_Tempe_Main_Campus%2C_Tempe%2C_AZ_-_panoramio_%28163%29.jpg,"[31.79359, -106.06899]"
VyStar Veterans Memorial Arena,14091,Jacksonville Giants,Jacksonville,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[33.5929, -111.70962]"
WVU Coliseum,14000,WVU Mountaineers men's and women's basketball,Morgantown,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/WVU_Coliseum_2017.jpg/150px-WVU_Coliseum_2017.jpg,"[37.75704, -122.19388]"
Pauley Pavilion,13800,UCLA Bruins men's and women's basketball,Los Angeles,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.87516, -78.02306]"
Gallagher-Iba Arena,13611,Oklahoma State Cowboys basketball and Cowgirls basketball,Stillwater,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.16807, -81.40359]"
Wolstein Center,13610,Cleveland State Vikings men's basketball,Cleveland,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[40.15476, -75.28873]"
UD Arena,13409,Dayton Flyers basketball and NCAA Men's Basketball Tournament First Four games,Dayton,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[43.16162, -89.91256]"
